2017-05-20 15:59:57.990: ACT: MainWearActivity onCreate Complete
2017-05-20 15:59:59.225: GPS: Normal Poller now requestingLocationUpdates at 2000ms intervals
2017-05-20 15:59:59.452: GPS: Location received:Location[fused 54.144163,-2.291551 acc=35 et=+7m37s193ms alt=0.0 vel=13.89 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 15:59:59.452: GPS: Good Location received:Location[fused 54.144163,-2.291551 acc=35 et=+7m37s193ms alt=0.0 vel=13.89 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:05.973: GPS: Location received:Location[fused 54.145370,-2.290220 acc=47 et=+7m43s714ms alt=0.0 vel=13.89 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:05.973: GPS: Good Location received:Location[fused 54.145370,-2.290220 acc=47 et=+7m43s714ms alt=0.0 vel=13.89 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:07.975: GPS: Location received:Location[fused 54.145562,-2.289954 acc=44 et=+7m45s716ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:07.975: GPS: Good Location received:Location[fused 54.145562,-2.289954 acc=44 et=+7m45s716ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:09.978: GPS: Location received:Location[fused 54.145755,-2.289687 acc=36 et=+7m47s731ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:09.978: GPS: Good Location received:Location[fused 54.145755,-2.289687 acc=36 et=+7m47s731ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:13.956: GPS: Location received:Location[fused 54.146140,-2.289154 acc=40 et=+7m51s709ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:13.956: GPS: Good Location received:Location[fused 54.146140,-2.289154 acc=40 et=+7m51s709ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:15.967: GPS: Location received:Location[fused 54.146309,-2.288861 acc=48 et=+7m53s720ms alt=0.0 vel=13.89 bear=52.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:15.967: GPS: Good Location received:Location[fused 54.146309,-2.288861 acc=48 et=+7m53s720ms alt=0.0 vel=13.89 bear=52.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:19.989: GPS: Location received:Location[fused 54.146418,-2.288036 acc=44 et=+7m57s739ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:19.989: GPS: Good Location received:Location[fused 54.146418,-2.288036 acc=44 et=+7m57s739ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:23.972: GPS: Location received:Location[fused 54.146526,-2.287210 acc=35 et=+8m1s725ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:23.972: GPS: Good Location received:Location[fused 54.146526,-2.287210 acc=35 et=+8m1s725ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:27.968: GPS: Location received:Location[fused 54.146633,-2.286384 acc=30 et=+8m5s721ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:27.968: GPS: Good Location received:Location[fused 54.146633,-2.286384 acc=30 et=+8m5s721ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:29.979: GPS: Location received:Location[fused 54.146685,-2.285970 acc=46 et=+8m7s732ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:29.979: GPS: Good Location received:Location[fused 54.146685,-2.285970 acc=46 et=+8m7s732ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:33.983: GPS: Location received:Location[fused 54.146790,-2.285142 acc=47 et=+8m11s731ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:33.983: GPS: Good Location received:Location[fused 54.146790,-2.285142 acc=47 et=+8m11s731ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:37.977: GPS: Location received:Location[fused 54.146895,-2.284314 acc=33 et=+8m15s731ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:37.977: GPS: Good Location received:Location[fused 54.146895,-2.284314 acc=33 et=+8m15s731ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:41.985: GPS: Location received:Location[fused 54.146711,-2.283538 acc=34 et=+8m19s737ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:41.985: GPS: Good Location received:Location[fused 54.146711,-2.283538 acc=34 et=+8m19s737ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:43.992: GPS: Location received:Location[fused 54.146608,-2.283153 acc=32 et=+8m21s742ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:43.992: GPS: Good Location received:Location[fused 54.146608,-2.283153 acc=32 et=+8m21s742ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:47.989: GPS: Location received:Location[fused 54.146304,-2.282518 acc=48 et=+8m25s742ms alt=0.0 vel=13.89 bear=144.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-20 16:00:47.989: GPS: Good Location received:Location[fused 54.146304,-2.282518 acc=48 et=+8m25s742ms alt=0.0 vel=13.89 bear=144.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-20 16:00:49.991: GPS: Location received:Location[fused 54.146101,-2.282275 acc=43 et=+8m27s744ms alt=0.0 vel=13.89 bear=144.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
