2017-05-22 06:00:30.508: ACT: MainWearActivity onCreate Complete
2017-05-22 06:00:31.874: GPS: Normal Poller now requestingLocationUpdates at 2000ms intervals
2017-05-22 06:03:54.352: GPS: Good Location received:Location[fused 54.146507,-2.282775 acc=39 et=+4m6s79ms alt=0.0 vel=13.89 bear=114.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:03:58.346: GPS: Location received:Location[fused 54.146105,-2.282280 acc=45 et=+4m10s73ms alt=0.0 vel=13.89 bear=144.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:03:58.347: GPS: Good Location received:Location[fused 54.146105,-2.282280 acc=45 et=+4m10s73ms alt=0.0 vel=13.89 bear=144.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:02.352: GPS: Location received:Location[fused 54.145737,-2.281752 acc=33 et=+4m14s76ms alt=0.0 vel=13.89 bear=123.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:02.352: GPS: Good Location received:Location[fused 54.145737,-2.281752 acc=33 et=+4m14s76ms alt=0.0 vel=13.89 bear=123.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:06.352: GPS: Location received:Location[fused 54.145897,-2.281083 acc=46 et=+4m18s76ms alt=0.0 vel=13.89 bear=36.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:06.352: GPS: Good Location received:Location[fused 54.145897,-2.281083 acc=46 et=+4m18s76ms alt=0.0 vel=13.89 bear=36.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:10.343: GPS: Location received:Location[fused 54.146295,-2.280578 acc=32 et=+4m22s71ms alt=0.0 vel=13.89 bear=36.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:10.344: GPS: Good Location received:Location[fused 54.146295,-2.280578 acc=32 et=+4m22s71ms alt=0.0 vel=13.89 bear=36.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:12.348: GPS: Location received:Location[fused 54.146489,-2.280318 acc=33 et=+4m24s76ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:12.348: GPS: Good Location received:Location[fused 54.146489,-2.280318 acc=33 et=+4m24s76ms alt=0.0 vel=13.89 bear=39.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:14.358: GPS: Location received:Location[fused 54.146636,-2.279976 acc=35 et=+4m26s86ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:14.359: GPS: Good Location received:Location[fused 54.146636,-2.279976 acc=35 et=+4m26s86ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:18.357: GPS: Location received:Location[fused 54.146930,-2.279293 acc=44 et=+4m30s85ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:18.357: GPS: Good Location received:Location[fused 54.146930,-2.279293 acc=44 et=+4m30s85ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:22.309: GPS: Location received:Location[fused 54.147224,-2.278610 acc=43 et=+4m34s34ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:22.309: GPS: Good Location received:Location[fused 54.147224,-2.278610 acc=43 et=+4m34s34ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:26.278: GPS: Location received:Location[fused 54.147518,-2.277927 acc=35 et=+4m38s6ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:26.279: GPS: Good Location received:Location[fused 54.147518,-2.277927 acc=35 et=+4m38s6ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:28.291: GPS: Location received:Location[fused 54.147665,-2.277586 acc=36 et=+4m40s18ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:28.291: GPS: Good Location received:Location[fused 54.147665,-2.277586 acc=36 et=+4m40s18ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:32.290: GPS: Location received:Location[fused 54.147958,-2.276904 acc=41 et=+4m44s18ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:32.291: GPS: Good Location received:Location[fused 54.147958,-2.276904 acc=41 et=+4m44s18ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:34.290: GPS: Location received:Location[fused 54.148105,-2.276562 acc=50 et=+4m46s18ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:34.290: GPS: Good Location received:Location[fused 54.148105,-2.276562 acc=50 et=+4m46s18ms alt=0.0 vel=13.89 bear=53.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:38.291: GPS: Location received:Location[fused 54.148327,-2.275823 acc=45 et=+4m50s19ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:38.292: GPS: Good Location received:Location[fused 54.148327,-2.275823 acc=45 et=+4m50s19ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:40.294: GPS: Location received:Location[fused 54.148380,-2.275410 acc=46 et=+4m52s21ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:40.295: GPS: Good Location received:Location[fused 54.148380,-2.275410 acc=46 et=+4m52s21ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:44.293: GPS: Location received:Location[fused 54.148487,-2.274583 acc=38 et=+4m56s21ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:44.293: GPS: Good Location received:Location[fused 54.148487,-2.274583 acc=38 et=+4m56s21ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:46.294: GPS: Location received:Location[fused 54.148540,-2.274172 acc=42 et=+4m58s22ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:46.295: GPS: Good Location received:Location[fused 54.148540,-2.274172 acc=42 et=+4m58s22ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:48.324: GPS: Location received:Location[fused 54.148593,-2.273759 acc=37 et=+5m0s50ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:48.324: GPS: Good Location received:Location[fused 54.148593,-2.273759 acc=37 et=+5m0s50ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:52.309: GPS: Location received:Location[fused 54.148700,-2.272932 acc=44 et=+5m4s37ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:52.309: GPS: Good Location received:Location[fused 54.148700,-2.272932 acc=44 et=+5m4s37ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:54.310: GPS: Location received:Location[fused 54.148753,-2.272518 acc=35 et=+5m6s38ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:54.310: GPS: Good Location received:Location[fused 54.148753,-2.272518 acc=35 et=+5m6s38ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:04:58.305: GPS: Location received:Location[fused 54.148860,-2.271691 acc=36 et=+5m10s32ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:04:58.305: GPS: Good Location received:Location[fused 54.148860,-2.271691 acc=36 et=+5m10s32ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:00.308: GPS: Location received:Location[fused 54.148914,-2.271278 acc=33 et=+5m12s36ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:00.309: GPS: Good Location received:Location[fused 54.148914,-2.271278 acc=33 et=+5m12s36ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:02.319: GPS: Location received:Location[fused 54.148967,-2.270864 acc=39 et=+5m14s44ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:02.319: GPS: Good Location received:Location[fused 54.148967,-2.270864 acc=39 et=+5m14s44ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:04.323: GPS: Location received:Location[fused 54.149020,-2.270452 acc=39 et=+5m16s51ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:04.323: GPS: Good Location received:Location[fused 54.149020,-2.270452 acc=39 et=+5m16s51ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:08.318: GPS: Location received:Location[fused 54.149127,-2.269626 acc=33 et=+5m20s46ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:08.318: GPS: Good Location received:Location[fused 54.149127,-2.269626 acc=33 et=+5m20s46ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:10.322: GPS: Location received:Location[fused 54.149180,-2.269212 acc=35 et=+5m22s50ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:10.323: GPS: Good Location received:Location[fused 54.149180,-2.269212 acc=35 et=+5m22s50ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:14.339: GPS: Location received:Location[fused 54.149287,-2.268386 acc=45 et=+5m26s64ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:14.339: GPS: Good Location received:Location[fused 54.149287,-2.268386 acc=45 et=+5m26s64ms alt=0.0 vel=13.89 bear=77.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:18.317: GPS: Location received:Location[fused 54.149072,-2.267711 acc=41 et=+5m30s44ms alt=0.0 vel=13.89 bear=132.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:18.317: GPS: Good Location received:Location[fused 54.149072,-2.267711 acc=41 et=+5m30s44ms alt=0.0 vel=13.89 bear=132.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:20.338: GPS: Location received:Location[fused 54.149148,-2.267443 acc=34 et=+5m32s52ms alt=0.0 vel=13.89 bear=35.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:20.338: GPS: Good Location received:Location[fused 54.149148,-2.267443 acc=34 et=+5m32s52ms alt=0.0 vel=13.89 bear=35.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:22.363: GPS: Location received:Location[fused 54.149351,-2.267198 acc=30 et=+5m34s90ms alt=0.0 vel=13.89 bear=35.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:22.363: GPS: Good Location received:Location[fused 54.149351,-2.267198 acc=30 et=+5m34s90ms alt=0.0 vel=13.89 bear=35.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:26.333: GPS: Location received:Location[fused 54.149514,-2.266449 acc=40 et=+5m38s61ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:26.334: GPS: Good Location received:Location[fused 54.149514,-2.266449 acc=40 et=+5m38s61ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:28.336: GPS: Location received:Location[fused 54.149560,-2.266033 acc=48 et=+5m40s64ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:28.336: GPS: Good Location received:Location[fused 54.149560,-2.266033 acc=48 et=+5m40s64ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:30.338: GPS: Location received:Location[fused 54.149607,-2.265618 acc=44 et=+5m42s66ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
2017-05-22 06:05:30.338: GPS: Good Location received:Location[fused 54.149607,-2.265618 acc=44 et=+5m42s66ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}] fromLocationHandler
2017-05-22 06:05:32.338: GPS: Location received:Location[fused 54.149654,-2.265203 acc=35 et=+5m44s66ms alt=0.0 vel=13.89 bear=79.0 mock {Bundle[mParcelledData.dataSize=44]}]state is normallPoller
